v,E
39.651821,-13.4452293740274
40.001688,-13.5192937768844
40.353607,-13.5886946301986
40.707584,-13.6535454348175
41.063625,-13.7139575084338
41.421736,-13.7700399728038
41.781923,-13.8218997536588
42.144192,-13.8696416906776
42.508549,-13.9133689155802
42.875,-13.953157591721
43.243551,-13.9891674531506
43.614208,-14.0214560092728
43.986977,-14.0501101764197
44.361864,-14.0752331264611
44.738875,-14.0969160455781
45.118016,-14.1152481995486
45.499293,-14.1303170133975
45.882712,-14.1422081621463
46.268279,-14.1510056198832
46.656,-14.1567916368652
47.045881,-14.159646776458
47.437928,-14.159649992554
47.832147,-14.1568786345701
48.228544,-14.1514084388925
48.627125,-14.1433136074516
49.027896,-14.1326668382665
49.430863,-14.1195393075933
49.836032,-14.1040007214546
50.243409,-14.0861193682242
50.653,-14.0659621154326
51.064811,-14.0435944192507
51.478848,-14.0190803915852
51.895117,-13.9924828176356
52.313624,-13.9638631419256
52.734375,-13.9332815252666
53.157376,-13.9007968814495
53.582633,-13.8664668692582
54.010152,-13.8303479153799
54.439939,-13.792495266914
54.872,-13.7529630010751
