# Time-averaged data for fix output
# TimeStep v_strainx v_stressx v_strainy v_stressy
1100 0.00505 6.54928 -0.00455198 0.146458
1200 0.01505 19.1484 -0.0135481 0.0527856
1300 0.02505 31.3645 -0.0224475 -0.159274
1400 0.03505 43.629 -0.0310889 -0.0110161
1500 0.04505 55.5813 -0.0395985 0.216687
1600 0.05505 66.4618 -0.047917 -0.0689685
1700 0.06505 77.4114 -0.0558691 0.117481
1800 0.07505 88.1489 -0.0637157 0.0784947
1900 0.08505 99.1036 -0.0714183 0.0202125
2000 0.09505 110.007 -0.0790872 0.029576
2100 0.10505 120.49 -0.086386 -0.0719641
2200 0.11505 126.622 -0.0923073 0.0299818
2300 0.12505 114.952 -0.0918255 0.0126934
2400 0.13505 103.955 -0.0903945 0.0175686
2500 0.14505 101.341 -0.0918958 0.163297
2600 0.15505 100.867 -0.0958683 -0.118713
2700 0.16505 98.8608 -0.100465 0.0909993
2800 0.17505 94.866 -0.106243 -0.0521625
2900 0.18505 89.8897 -0.109726 -0.0310225
3000 0.19505 82.4255 -0.109586 0.0592101
3100 0.20505 76.2748 -0.109593 -0.0535167
3200 0.21505 70.6333 -0.108905 -0.0919727
3300 0.22505 66.5493 -0.10879 0.147751
3400 0.23505 64.2955 -0.108478 -0.0286118
3500 0.24505 61.9614 -0.111663 -0.0139185
3600 0.25505 57.5117 -0.110232 -0.0274675
3700 0.26505 55.5706 -0.109409 0.0156349
3800 0.27505 51.9631 -0.107997 0.0134783
3900 0.28505 48.2294 -0.105667 -0.048171
4000 0.29505 44.7539 -0.102671 -0.0661147
4100 0.30505 42.8778 -0.0978078 0.0236195
4200 0.31505 40.9755 -0.0926416 0.0341858
4300 0.32505 37.033 -0.0891315 -0.092428
4400 0.33505 31.1328 -0.0848302 -0.00878497
4500 0.34505 26.3449 -0.0821208 0.113136
4600 0.35505 22.0088 -0.0794462 -0.17923
4700 0.36505 18.0008 -0.0751538 0.0510143
4800 0.37505 13.0594 -0.0712814 0.00405944
4900 0.38505 8.17208 -0.066397 -0.0645047
5000 0.39505 5.9999 -0.0646056 0.0837454
5100 0.40505 4.60626 -0.0646591 -0.00624581
5200 0.41505 3.90397 -0.0635972 0.0857065
5300 0.42505 3.5903 -0.0639449 -0.0499289
5400 0.43505 3.83283 -0.0647831 0.0341564
5500 0.44505 3.80312 -0.0648671 0.000468711
5600 0.45505 3.21265 -0.0660188 -0.0114449
5700 0.46505 3.67542 -0.0685116 -0.0351796
5800 0.47505 3.64689 -0.069057 -0.0337479
5900 0.48505 3.74935 -0.069156 -0.0327237
6000 0.49505 4.22061 -0.0696229 0.0938265
6100 0.50505 4.32288 -0.0698645 0.0116497
6200 0.51505 3.57585 -0.0689898 0.0533718
6300 0.52505 2.95755 -0.0689034 -0.152318
6400 0.53505 2.75528 -0.0688149 0.0130998
6500 0.54505 2.9199 -0.0693084 0.0261792
6600 0.55505 3.48809 -0.0702479 0.0659168
6700 0.56505 3.75597 -0.0708323 -0.010556
6800 0.57505 2.84917 -0.0703269 0.00280006
6900 0.58505 2.2201 -0.0701733 -0.151214
7000 0.59505 2.08715 -0.0695865 0.0981582
7100 0.60505 1.91887 -0.0697555 -0.0118431
7200 0.61505 2.31443 -0.0702569 0.0116073
7300 0.62505 2.38388 -0.0707087 0.0573223
7400 0.63505 2.93698 -0.0718035 -0.0403825
7500 0.64505 2.9167 -0.0718956 -0.0482015
7600 0.65505 2.8695 -0.0718426 0.0765705
7700 0.66505 2.58341 -0.0716176 -0.0334117
7800 0.67505 2.16444 -0.071247 0.00234413
7900 0.68505 2.12085 -0.0718705 0.0577152
8000 0.69505 2.02001 -0.0726705 -0.0383073
8100 0.70505 1.564 -0.0731902 0.0595936
