# Time-averaged data for fix 2
# TimeStep v_T v_Eatom
2801000 932.691 -2.95947
2802000 974.093 -2.95348
2803000 940.944 -2.96547
2804000 942.245 -2.95799
2805000 1032.68 -2.93472
2806000 928.956 -2.94548
2807000 935.016 -2.95568
2808000 919.934 -2.95236
2809000 895.87 -2.96684
2810000 960.485 -2.95075
2811000 969.392 -2.9459
2812000 934.113 -2.95877
2813000 931.862 -2.96259
2814000 962.912 -2.9556
2815000 940.931 -2.94768
2816000 944.97 -2.95634
2817000 980.483 -2.94051
2818000 934.6 -2.96299
2819000 931.258 -2.95641
2820000 939.436 -2.95449
2821000 912.859 -2.95887
2822000 933.915 -2.95426
2823000 973.347 -2.95344
2824000 944.022 -2.94946
2825000 928.626 -2.9647
2826000 934.051 -2.96086
2827000 923.057 -2.96596
2828000 973.365 -2.94875
2829000 962.244 -2.95007
2830000 999.017 -2.94755
2831000 966.382 -2.95636
2832000 928.994 -2.96225
2833000 944.208 -2.96546
2834000 966.439 -2.95475
2835000 985.666 -2.95519
2836000 944.231 -2.95038
2837000 887.841 -2.96341
2838000 996.315 -2.93786
2839000 967.654 -2.94622
2840000 898.872 -2.96503
2841000 901.149 -2.95453
2842000 912.654 -2.96494
2843000 965.629 -2.95081
2844000 896.727 -2.96403
2845000 965.466 -2.95738
2846000 923.842 -2.96226
2847000 935.824 -2.96428
2848000 941.908 -2.95671
2849000 971.476 -2.95704
2850000 899.753 -2.96084
2851000 914.094 -2.95581
2852000 1029.03 -2.93723
2853000 879.478 -2.9641
2854000 986.327 -2.93894
2855000 949.1 -2.94825
2856000 964.765 -2.95556
2857000 927.025 -2.96404
2858000 949.107 -2.95114
2859000 977.518 -2.94101
2860000 945.041 -2.95053
2861000 958.619 -2.95098
2862000 953.605 -2.95548
2863000 1003.43 -2.94022
2864000 1007.77 -2.95062
2865000 954.738 -2.94995
2866000 935.42 -2.95468
2867000 966.971 -2.94301
2868000 974.37 -2.95038
2869000 965.124 -2.94851
2870000 939.857 -2.94181
2871000 971.381 -2.93917
2872000 948.725 -2.93376
2873000 923.736 -2.95477
2874000 965.248 -2.94273
2875000 901.277 -2.95488
2876000 938.625 -2.95737
2877000 913.274 -2.95163
2878000 975.683 -2.93859
2879000 941.957 -2.91196
2880000 929.495 -2.92992
2881000 991.211 -2.93865
2882000 902.21 -2.94847
2883000 951.661 -2.92961
2884000 957.034 -2.95111
2885000 945.654 -2.93569
2886000 936.245 -2.93463
2887000 889.105 -2.95132
2888000 962.475 -2.95553
2889000 942.029 -2.95469
2890000 981.495 -2.94403
2891000 917.707 -2.95983
2892000 917.018 -2.95609
2893000 932.084 -2.95641
2894000 925.703 -2.95901
2895000 932.844 -2.94695
2896000 936.433 -2.95133
2897000 934.667 -2.95029
2898000 953.184 -2.93823
2899000 931.837 -2.9492
2900000 983.096 -2.9419
2901000 960.096 -2.94081
2902000 942.577 -2.96236
2903000 940.279 -2.96146
2904000 926.567 -2.95301
2905000 895.421 -2.95422
2906000 963.874 -2.95394
2907000 922.606 -2.93904
2908000 942.125 -2.95867
2909000 941.003 -2.94951
2910000 1005.67 -2.94425
2911000 976.93 -2.9506
2912000 939.296 -2.95673
2913000 934.984 -2.95542
2914000 902.045 -2.96386
2915000 928.24 -2.95951
2916000 933.254 -2.95738
2917000 940.118 -2.96049
2918000 962.968 -2.96075
2919000 962.661 -2.955
2920000 967.54 -2.9483
2921000 996.516 -2.95117
2922000 925.491 -2.95601
2923000 941.782 -2.96519
2924000 947.977 -2.94965
2925000 988.132 -2.94893
2926000 910.023 -2.96503
2927000 892.004 -2.96899
2928000 990.592 -2.94835
2929000 992.137 -2.95028
2930000 961.621 -2.946
2931000 956.919 -2.94614
2932000 952.21 -2.95369
2933000 965.922 -2.94494
2934000 935.031 -2.95568
2935000 966.247 -2.94761
2936000 940.433 -2.95611
2937000 972.371 -2.95091
2938000 965.394 -2.94671
2939000 930.171 -2.9563
2940000 935.016 -2.95373
2941000 1020.37 -2.93056
2942000 909.69 -2.95041
2943000 959.493 -2.95321
2944000 922.339 -2.95856
2945000 890.243 -2.97821
2946000 966.294 -2.95501
2947000 900.502 -2.97466
2948000 935.447 -2.95546
2949000 973.596 -2.95078
2950000 907.387 -2.96497
2951000 917.62 -2.96873
2952000 958.593 -2.9516
2953000 948.036 -2.96422
2954000 935.843 -2.95667
2955000 996.147 -2.94476
2956000 931.551 -2.95253
2957000 963.883 -2.9485
2958000 955.872 -2.95075
2959000 925.101 -2.957
2960000 943.646 -2.95294
2961000 964.145 -2.9487
2962000 916.011 -2.97303
2963000 938.267 -2.95206
2964000 878.614 -2.96505
2965000 934.322 -2.94945
2966000 981.771 -2.9514
2967000 956.65 -2.95198
2968000 968.431 -2.94456
2969000 952.442 -2.957
2970000 909.9 -2.95847
2971000 942.911 -2.94047
2972000 939.037 -2.93126
2973000 932.948 -2.96051
2974000 946.566 -2.95741
2975000 952.83 -2.9552
2976000 962.425 -2.94524
2977000 919.14 -2.96943
2978000 941.33 -2.96094
2979000 954.445 -2.9576
2980000 1011.34 -2.95088
2981000 962.527 -2.9508
2982000 953.917 -2.94049
2983000 957.875 -2.94341
2984000 944.129 -2.95718
2985000 942.042 -2.95886
